location_name,location_region,location_country,location_lat,location_lon,location_tz_id,location_localtime_epoch,location_localtime,current_last_updated_epoch,current_last_updated,current_temp_c,current_temp_f,current_is_day,current_condition_text,current_condition_icon,current_condition_code,current_wind_mph,current_wind_kph,current_wind_degree,current_wind_dir,current_pressure_mb,current_pressure_in,current_precip_mm,current_precip_in,current_humidity,current_cloud,current_feelslike_c,current_feelslike_f,current_vis_km,current_vis_miles,current_uv,current_gust_mph,current_gust_kph
Paris,Ile-de-France,France,48.87,2.33,Europe/Paris,1688792345,2023-07-08 6:59,1688791500,2023-07-08 06:45,21.0,69.8,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,4.3,6.8,20,NNE,1013.0,29.91,0.0,0.0,64,0,21.0,69.8,10.0,6.0,5.0,10.5,16.9
Paris,Ile-de-France,France,48.87,2.33,Europe/Paris,1688792652,2023-07-08 7:04,1688792400,2023-07-08 07:00,21.0,69.8,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,4.3,6.8,20,NNE,1013.0,29.91,0.0,0.0,64,0,21.0,69.8,10.0,6.0,6.0,11.2,18.0
